# q intensity propagated_error
8.972188982835325739e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.009402691554100203e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.121586484824668238e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.233770278095235189e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.345954071365803225e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.458137864636371260e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.570321657906938211e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.682505451177505162e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.794689244448074282e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.090687303771864340e-03 1.309823661671946411e+02 5.351716104875468005e-01
1.201905683098920818e-03 9.333542950677519912e+01 7.589291329244952922e-02
1.313124062425977730e-03 7.117979863175249022e+01 4.255976311085670621e-02
1.424342441753034642e-03 5.481809127727864706e+01 3.031045180856562632e-02
1.535560821080091121e-03 4.219421041976276854e+01 2.427191561784935309e-02
1.646779200407148033e-03 3.311669954574426811e+01 2.026033028554044199e-02
1.757997579734204945e-03 2.681441680685037454e+01 1.745374515886745706e-02
1.869215959061261423e-03 2.143601133798856395e+01 1.488822866911629524e-02
1.980434338388318335e-03 1.766376374235625590e+01 1.295917283213098535e-02
2.091652717715374813e-03 1.504274340480141348e+01 1.149526897815728553e-02
2.202871097042431725e-03 1.244234638662868520e+01 9.996758614849591065e-03
2.314089476369488203e-03 1.053436741511080221e+01 8.938466954696050459e-03
2.425307855696545115e-03 8.886949283969057589e+00 7.965201954694065001e-03
2.536526235023602027e-03 7.716557685381677523e+00 7.203130048889280074e-03
2.647744614350658506e-03 6.641389447676742108e+00 6.520045295398158545e-03
2.758962993677715417e-03 5.724794883775436105e+00 5.903140500128013952e-03
2.870181373004772329e-03 5.000195201260415168e+00 5.357448056965342063e-03
2.981399752331828808e-03 4.402753470167612981e+00 4.887642413179646081e-03
3.092618131658885720e-03 3.842186203652054211e+00 4.482890237163516915e-03
3.203836510985942632e-03 3.427800713921624887e+00 4.129121432250409431e-03
3.315054890312999110e-03 3.086111465987096292e+00 3.821159764742260590e-03
3.426273269640056022e-03 2.738561490085117622e+00 3.535163670876993302e-03
3.537491648967112934e-03 2.395792601323634585e+00 3.251586611187375769e-03
3.648710028294169412e-03 2.145343670204743258e+00 3.009439444814775762e-03
3.759928407621226324e-03 1.942684782298943036e+00 2.813271864867183513e-03
3.871146786948283236e-03 1.803919664483913943e+00 2.670463082999215663e-03
3.982365166275340582e-03 1.657553578528402571e+00 2.507406968277836167e-03
4.093583545602396193e-03 1.509213867287553912e+00 2.354841180761593072e-03
4.204801924929453538e-03 1.346863551259405156e+00 2.189024211449770805e-03
4.316020304256510016e-03 1.205449189801289567e+00 2.035807993574874006e-03
4.427238683583566495e-03 1.089900108759682018e+00 1.901871613148484750e-03
4.538457062910623840e-03 9.896620434894423113e-01 1.823979735397356604e-03
4.649675442237680319e-03 9.177567092810616778e-01 1.839087297684313931e-03
4.760893821564736797e-03 8.451751050287609202e-01 1.806084199149228043e-03
4.872112200891794143e-03 7.772050103350853778e-01 1.759559251840454039e-03
4.983330580218850621e-03 7.152096095554694166e-01 1.703179353525027372e-03
5.094548959545907099e-03 6.499233864024993590e-01 1.626326583122064077e-03
5.205767338872964445e-03 6.017445594083780103e-01 1.575582028169833070e-03
5.316985718200020923e-03 5.604767214960871824e-01 1.528082005385414171e-03
5.428204097527077401e-03 5.211641307953263080e-01 1.468686567127917408e-03
5.539422476854134747e-03 4.829155918520436908e-01 1.409793911696130162e-03
5.650640856181191225e-03 4.545949171368073860e-01 1.370811031496743789e-03
5.761859235508247704e-03 4.283004134063345125e-01 1.328623926621379367e-03
5.873077614835305049e-03 3.972991090247718904e-01 1.276508881957011529e-03
5.984295994162361527e-03 3.643396311363897855e-01 1.218851677314017551e-03
6.095514373489418006e-03 3.399497532726472038e-01 1.174516801973210511e-03
6.206732752816475351e-03 3.171967085261466757e-01 1.128364257934121951e-03
6.317951132143531830e-03 3.009450435455033324e-01 1.100634046531080712e-03
6.429169511470588308e-03 2.946696127694288792e-01 1.043523480858558460e-03
6.540387890797645654e-03 2.804859865000284835e-01 9.802714419430657005e-04
6.651606270124702132e-03 2.648545709640151014e-01 9.363982933986197054e-04
6.762824649451758610e-03 2.515015774751285238e-01 8.969094677971720803e-04
6.874043028778815956e-03 2.377894081840528639e-01 8.542795903193524257e-04
6.985261408105872434e-03 2.257479956834713697e-01 8.208769979882438086e-04
7.096479787432928912e-03 2.159737892240475576e-01 7.953971513882258362e-04
7.207698166759986258e-03 2.043490300645509350e-01 7.626681610509482767e-04
7.318916546087042736e-03 1.946393831077241898e-01 7.344404705352709523e-04
7.430134925414099215e-03 1.881080260883655764e-01 7.153578558833352486e-04
7.541353304741156560e-03 1.798110257426819847e-01 6.919755581157075678e-04
7.652571684068213038e-03 1.705660631010672557e-01 6.636569712251605066e-04
7.763790063395270384e-03 1.648809920057258682e-01 6.491354632209884882e-04
7.875008442722326862e-03 1.571802352873052366e-01 6.287578584100079766e-04
7.986226822049382473e-03 1.491877160333627272e-01 6.068564513479995752e-04
8.097445201376439819e-03 1.439232810542031837e-01 5.947596997779011413e-04
8.208663580703497165e-03 1.392491800183874584e-01 5.824268337708630441e-04
8.319881960030552775e-03 1.332515005992824519e-01 5.644294742161026649e-04
8.431100339357610121e-03 1.271947652197425727e-01 5.481074260473823125e-04
8.542318718684667467e-03 1.209677082020378519e-01 5.331521919575608025e-04
8.653537098011723078e-03 1.141904573509603948e-01 5.145989477581914889e-04
8.764755477338780423e-03 1.106015095335836779e-01 5.036294966744083194e-04
8.875973856665837769e-03 1.067217670305521532e-01 4.929761128644746066e-04
8.987192235992893380e-03 1.022095848856891392e-01 4.795630534058799408e-04
9.098410615319950726e-03 9.973171157353943883e-02 4.706566320424469861e-04
9.209628994647008071e-03 9.684577023796596407e-02 4.633400388785116489e-04
9.320847373974063682e-03 9.226656691265316956e-02 4.506030190658370663e-04
9.432065753301121028e-03 9.010003423193380101e-02 4.407229663996456372e-04
9.543284132628178373e-03 8.706339655415364087e-02 4.324195774760268714e-04
9.654502511955233984e-03 8.394760626607011833e-02 4.232022104752892881e-04
9.765720891282291330e-03 8.233143468188712510e-02 4.161865284233492697e-04
9.876939270609348676e-03 8.014077888017032136e-02 4.083427910182638718e-04
9.988157649936404286e-03 7.767127337064577697e-02 3.999590288617245579e-04
1.009937602926346163e-02 7.731541744798654803e-02 3.978936467905439412e-04
1.021059440859051898e-02 7.446928073517178337e-02 3.876520494750047624e-04
1.032181278791757459e-02 7.277440074651463087e-02 3.833507275662979201e-04
1.043303116724463193e-02 7.096072251922823371e-02 3.768391073578099401e-04
1.054424954657168928e-02 6.942951613893523499e-02 3.697592585367648539e-04
1.065546792589874489e-02 6.691381496130621720e-02 3.622040198206435838e-04
1.076668630522580224e-02 6.586711105303219571e-02 3.583471249093375557e-04
1.087790468455285958e-02 6.553468357983141535e-02 3.549727628094419165e-04
1.098912306387991519e-02 6.335588381374308853e-02 3.474928647114279763e-04
1.110034144320697254e-02 6.272240688265565134e-02 3.456235211921776128e-04
1.121155982253402988e-02 6.169254743816734998e-02 3.405716950103680665e-04
1.132277820186108550e-02 5.949215338581587131e-02 3.324856941720993994e-04
1.143399658118814284e-02 5.810109451192856100e-02 3.277771571079408225e-04
1.154521496051520019e-02 5.757143307339916000e-02 3.252780882629537204e-04
1.165643333984225580e-02 5.665956418454452803e-02 3.208454642054173731e-04
1.176765171916931314e-02 5.608095786611336231e-02 3.189019540849874620e-04
1.187887009849637049e-02 5.560535072517295424e-02 3.159393711482587179e-04
1.199008847782342610e-02 5.434119952873081583e-02 3.100072531456440428e-04
1.210130685715048345e-02 5.385072486186270185e-02 3.080783291320308070e-04
1.221252523647754079e-02 5.277094397952972887e-02 3.044972521298226439e-04
1.232374361580459640e-02 5.238614551380012946e-02 3.017612348461033386e-04
1.243496199513165375e-02 5.252318406080506291e-02 3.004919685610774310e-04
1.254618037445871109e-02 5.212725659819493484e-02 2.983326206179397460e-04
1.265739875378576670e-02 5.046678348690054189e-02 2.925847200937667630e-04
1.276861713311282405e-02 4.885709645486801395e-02 2.865363474037385303e-04
1.287983551243988140e-02 4.763840724007770144e-02 2.825412998852344605e-04
1.299105389176693701e-02 4.730793381569568107e-02 2.806437362510829031e-04
1.310227227109399435e-02 4.669308259016929225e-02 2.774104930999065710e-04
1.321349065042105170e-02 4.582799210116540040e-02 2.741287529716597430e-04
1.332470902974810731e-02 4.548999471694387120e-02 2.726798646704160604e-04
1.343592740907516465e-02 4.522626517282631736e-02 2.695473753503893600e-04
1.354714578840222200e-02 4.460042920138674455e-02 2.668065317629956363e-04
1.365836416772927761e-02 4.427993188472717501e-02 2.659893100818045840e-04
1.376958254705633496e-02 4.328381318435969849e-02 2.614514643722280090e-04
1.388080092638339230e-02 4.313506541940356070e-02 2.600045936682428608e-04
1.399201930571044791e-02 4.202299771434137021e-02 2.557656255502774052e-04
1.410323768503750526e-02 4.170426238265915325e-02 2.536517524235944870e-04
1.421445606436456260e-02 4.183350908003896640e-02 2.532665675669837379e-04
1.432567444369161822e-02 4.142311376371066861e-02 2.518469567112846443e-04
1.443689282301867556e-02 4.083803858252713082e-02 2.489703515418429953e-04
1.454811120234573291e-02 4.050423249583248730e-02 2.471123306729415721e-04
1.465932958167278852e-02 4.011730081404114162e-02 2.453822378334772399e-04
1.477054796099984586e-02 3.929480476358967328e-02 2.421227738095504771e-04
1.488176634032690321e-02 3.897040145124696514e-02 2.399410621138859734e-04
1.499298471965395882e-02 3.919277051734344763e-02 2.392921966400023484e-04
1.510420309898101617e-02 3.894393296556850070e-02 2.385212966727540465e-04
1.521542147830807351e-02 3.884440438019987757e-02 2.370571633765803754e-04
1.532663985763512912e-02 3.824219392013684243e-02 2.338495306809237960e-04
1.543785823696218647e-02 3.826388738279156571e-02 2.339823855924198749e-04
1.554907661628924381e-02 3.759239986611836309e-02 2.311804518327495385e-04
1.566029499561629942e-02 3.738068394870962263e-02 2.298195475336509358e-04
