# q intensity propagated_error
8.972188982835325739e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.009402691554100203e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.121586484824668238e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.233770278095235189e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.345954071365803225e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.458137864636371260e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.570321657906938211e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.682505451177505162e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.794689244448074282e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.090687303771864340e-03 1.342357320958558944e+02 1.913037550949350241e+00
1.201905683098920818e-03 9.355202532172206986e+01 2.684283334861916059e-01
1.313124062425977730e-03 7.107985810848597907e+01 1.502342186990672790e-01
1.424342441753034642e-03 5.493479801340808422e+01 1.071949414141458029e-01
1.535560821080091121e-03 4.221715959169678456e+01 8.574160633457102165e-02
1.646779200407148033e-03 3.322301555463536005e+01 7.168688648253274120e-02
1.757997579734204945e-03 2.687283811929184196e+01 6.172538431718903318e-02
1.869215959061261423e-03 2.155579722219815153e+01 5.275702126681278831e-02
1.980434338388318335e-03 1.762508598545048599e+01 4.572275472216790621e-02
2.091652717715374813e-03 1.511346685486033081e+01 4.071280315765882923e-02
2.202871097042431725e-03 1.250009492262749333e+01 3.538998681834332888e-02
2.314089476369488203e-03 1.060741233474492873e+01 3.170224879422110786e-02
2.425307855696545115e-03 8.882820245604346354e+00 2.814963234587714025e-02
2.536526235023602027e-03 7.719130770249262419e+00 2.546330029401056017e-02
2.647744614350658506e-03 6.654822003116549922e+00 2.307212826806647604e-02
2.758962993677715417e-03 5.758476749849077869e+00 2.092596443627965305e-02
2.870181373004772329e-03 5.042430958117071427e+00 1.900715623072462765e-02
2.981399752331828808e-03 4.423742914640107493e+00 1.730805672800188669e-02
3.092618131658885720e-03 3.858138073201759166e+00 1.586637328963354937e-02
3.203836510985942632e-03 3.479288128553909232e+00 1.469816959865995025e-02
3.315054890312999110e-03 3.132635409345841282e+00 1.360018408017727061e-02
3.426273269640056022e-03 2.781032856778387519e+00 1.259359388717006326e-02
3.537491648967112934e-03 2.409207886768618412e+00 1.151944904958174774e-02
3.648710028294169412e-03 2.196413953754378756e+00 1.076193816955005669e-02
3.759928407621226324e-03 1.981594498191720843e+00 1.003352219582119391e-02
3.871146786948283236e-03 1.839742806966065292e+00 9.525209457573740809e-03
3.982365166275340582e-03 1.700220136275226279e+00 8.970905395385338557e-03
4.093583545602396193e-03 1.542941550800029482e+00 8.407560241640471208e-03
4.204801924929453538e-03 1.388630190310471635e+00 7.855845982789010085e-03
4.316020304256510016e-03 1.234688008397554659e+00 7.280395552718952473e-03
4.427238683583566495e-03 1.118852784222636787e+00 6.808580633183801238e-03
4.538457062910623840e-03 1.029693832912471185e+00 6.572578396576695021e-03
4.649675442237680319e-03 9.522853182296167063e-01 6.618809503022762136e-03
4.760893821564736797e-03 8.658077033100387565e-01 6.461511222230505343e-03
4.872112200891794143e-03 8.070572116218630576e-01 6.342327882096510452e-03
4.983330580218850621e-03 7.468105593806351195e-01 6.153395538753592825e-03
5.094548959545907099e-03 6.884507636366068439e-01 5.917029164053523235e-03
5.205767338872964445e-03 6.358786803564627776e-01 5.715920232654461870e-03
5.316985718200020923e-03 6.030548617837711012e-01 5.606110871679344243e-03
5.428204097527077401e-03 5.489548999248707872e-01 5.320102881070285471e-03
5.539422476854134747e-03 5.134860871158182238e-01 5.130656084888292508e-03
5.650640856181191225e-03 4.888876643417675028e-01 5.028171265904232343e-03
5.761859235508247704e-03 4.617079439810046204e-01 4.886768554427689190e-03
5.873077614835305049e-03 4.164879325889674910e-01 4.620086484577773552e-03
5.984295994162361527e-03 3.856481128227012278e-01 4.431223047983823271e-03
6.095514373489418006e-03 3.712839201061399197e-01 4.346706228222494382e-03
6.206732752816475351e-03 3.498203560250690014e-01 4.191982047895097090e-03
6.317951132143531830e-03 3.349050982812580846e-01 4.105189797828156378e-03
6.429169511470588308e-03 3.200668746977954338e-01 3.840833749929455435e-03
6.540387890797645654e-03 3.061900536323683419e-01 3.617588358127779742e-03
6.651606270124702132e-03 2.919443606142018144e-01 3.472886339096412089e-03
6.762824649451758610e-03 2.741569284588288857e-01 3.307326386341411743e-03
6.874043028778815956e-03 2.666482705318863333e-01 3.199290181246349125e-03
6.985261408105872434e-03 2.538890805291548758e-01 3.079376780406549701e-03
7.096479787432928912e-03 2.409988002924642603e-01 2.970986673249151853e-03
7.207698166759986258e-03 2.294680656659573714e-01 2.857184535788640043e-03
7.318916546087042736e-03 2.223684493104154392e-01 2.778449115333979889e-03
7.430134925414099215e-03 2.092435542763431411e-01 2.667152219240945601e-03
7.541353304741156560e-03 2.007381908089184430e-01 2.586422561901018883e-03
7.652571684068213038e-03 1.943244912129290514e-01 2.504093930433927591e-03
7.763790063395270384e-03 1.865724287987050589e-01 2.435767644450354766e-03
7.875008442722326862e-03 1.842273007219077663e-01 2.406457276418834303e-03
7.986226822049382473e-03 1.747849425948250490e-01 2.322564810952122347e-03
8.097445201376439819e-03 1.658938126605856433e-01 2.254723202925481684e-03
8.208663580703497165e-03 1.634299130943998035e-01 2.230759332645270831e-03
8.319881960030552775e-03 1.551565739710039915e-01 2.149466024618397648e-03
8.431100339357610121e-03 1.482244988005079478e-01 2.090130431457708042e-03
8.542318718684667467e-03 1.387533476904853624e-01 2.015870070971311628e-03
8.653537098011723078e-03 1.343580941359912573e-01 1.971495289439704601e-03
8.764755477338780423e-03 1.281868335600808984e-01 1.913757876940739731e-03
8.875973856665837769e-03 1.229603779304853234e-01 1.864698835918735843e-03
8.987192235992893380e-03 1.244234889229212937e-01 1.869647759122220702e-03
9.098410615319950726e-03 1.184407787062763812e-01 1.807033542362272704e-03
9.209628994647008071e-03 1.159694028844904246e-01 1.787922135181112563e-03
9.320847373974063682e-03 1.125475060589129911e-01 1.757917460529173290e-03
9.432065753301121028e-03 1.076957214005622165e-01 1.700560539391958881e-03
9.543284132628178373e-03 1.045200141718923420e-01 1.674874183488213146e-03
9.654502511955233984e-03 1.031068678941236272e-01 1.659782326141919515e-03
9.765720891282291330e-03 9.908250617019655204e-02 1.602640611091828409e-03
9.876939270609348676e-03 9.937891241266333386e-02 1.597100343865758519e-03
9.988157649936404286e-03 9.584649251333794695e-02 1.568354041798914692e-03
1.009937602926346163e-02 9.783484637283776375e-02 1.581840033916876191e-03
1.021059440859051898e-02 9.136224928526801015e-02 1.511662766882958383e-03
1.032181278791757459e-02 8.880349430218220652e-02 1.494564369150071714e-03
1.043303116724463193e-02 8.501912100806016670e-02 1.454219628415225974e-03
1.054424954657168928e-02 8.635596828177163897e-02 1.455754524960078738e-03
1.065546792589874489e-02 8.326626386958921322e-02 1.427731509160777134e-03
1.076668630522580224e-02 7.964460504270533259e-02 1.393928381879369280e-03
1.087790468455285958e-02 8.035414191210837886e-02 1.388970659094852919e-03
1.098912306387991519e-02 7.835331787045035634e-02 1.363673209997843692e-03
1.110034144320697254e-02 7.911535596854232799e-02 1.369786684832713115e-03
1.121155982253402988e-02 7.577998256939866284e-02 1.329519719166844492e-03
1.132277820186108550e-02 7.512196646987802373e-02 1.321323902941940083e-03
1.143399658118814284e-02 7.552589400761185179e-02 1.321105176593641338e-03
1.154521496051520019e-02 7.255776348297882095e-02 1.289854274066833031e-03
1.165643333984225580e-02 6.940577132091413359e-02 1.251230751823183881e-03
1.176765171916931314e-02 7.136038705025975204e-02 1.271137700384362794e-03
1.187887009849637049e-02 6.806915489460585444e-02 1.237670447722592900e-03
1.199008847782342610e-02 6.620550328448683575e-02 1.211720353250726311e-03
1.210130685715048345e-02 6.669572835116829856e-02 1.208828566905358276e-03
1.221252523647754079e-02 6.792343243596929425e-02 1.218547926161553645e-03
1.232374361580459640e-02 6.591328274788374464e-02 1.194325114951744291e-03
1.243496199513165375e-02 6.435319879900186502e-02 1.173688533517563016e-03
1.254618037445871109e-02 6.564439263691167203e-02 1.182514950808980121e-03
1.265739875378576670e-02 6.367897778495459904e-02 1.160996309020700815e-03
1.276861713311282405e-02 5.909155683912694496e-02 1.109224446215145796e-03
1.287983551243988140e-02 6.199534047511551238e-02 1.141430435502190218e-03
1.299105389176693701e-02 6.018262844770223829e-02 1.118423176368797938e-03
1.310227227109399435e-02 5.887054813304032352e-02 1.099425550374289557e-03
1.321349065042105170e-02 5.961197921758656926e-02 1.106531387711975380e-03
1.332470902974810731e-02 6.020403882764614745e-02 1.108601319360636751e-03
1.343592740907516465e-02 5.919329875123209572e-02 1.088645229412472156e-03
1.354714578840222200e-02 5.648610731484258324e-02 1.059918043063758260e-03
1.365836416772927761e-02 5.417792879315897620e-02 1.037270197876783611e-03
1.376958254705633496e-02 5.534952270142741437e-02 1.044821096568959891e-03
1.388080092638339230e-02 5.486385138548102031e-02 1.034112706280818778e-03
1.399201930571044791e-02 5.471778211932402936e-02 1.029834701575132062e-03
1.410323768503750526e-02 5.460785270141640946e-02 1.025952000812739963e-03
1.421445606436456260e-02 5.376369117062752834e-02 1.016317931584040900e-03
1.432567444369161822e-02 5.136126589718893742e-02 9.896866345036746827e-04
1.443689282301867556e-02 5.207163083125782022e-02 9.952239349396683771e-04
1.454811120234573291e-02 5.162159637362256914e-02 9.875910544341740850e-04
1.465932958167278852e-02 5.206210120830188220e-02 9.876028261414440679e-04
1.477054796099984586e-02 5.077733765192965487e-02 9.707591396559286066e-04
1.488176634032690321e-02 4.853566254182755529e-02 9.418201344123623220e-04
1.499298471965395882e-02 5.017132857245718697e-02 9.537690927160432123e-04
1.510420309898101617e-02 4.999747390747422832e-02 9.518617578811072906e-04
1.521542147830807351e-02 4.963777261910030936e-02 9.456724714685825397e-04
1.532663985763512912e-02 4.964366690071708721e-02 9.436253946020103749e-04
1.543785823696218647e-02 4.822058803053230758e-02 9.288618470665336788e-04
1.554907661628924381e-02 4.780201741160862439e-02 9.203186974529681480e-04
1.566029499561629942e-02 4.661323815028446671e-02 9.035413590836368497e-04
