# q intensity propagated_error
8.972188982835325739e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.009402691554100203e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.121586484824668238e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.233770278095235189e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.345954071365803225e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.458137864636371260e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.570321657906938211e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.682505451177505162e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.794689244448074282e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.090687303771864340e-03 3.253365928661253292e+00 1.986484664933037436e+00
1.201905683098920818e-03 2.165958149468707461e-01 2.789507205694033432e-01
1.313124062425977730e-03 -9.994052326651114981e-02 1.561462580536959743e-01
1.424342441753034642e-03 1.167067361294371608e-01 1.113978408840204104e-01
1.535560821080091121e-03 2.294917193401602162e-02 8.911088005733390494e-02
1.646779200407148033e-03 1.063160088910919399e-01 7.449490369709006743e-02
1.757997579734204945e-03 5.842131244146742119e-02 6.414558666950809229e-02
1.869215959061261423e-03 1.197858842095875787e-01 5.481753958224350187e-02
1.980434338388318335e-03 -3.867775690576991110e-02 4.752378835779581812e-02
2.091652717715374813e-03 7.072345005891733649e-02 4.230453344305382807e-02
2.202871097042431725e-03 5.774853599880813704e-02 3.677480591119529352e-02
2.314089476369488203e-03 7.304491963412651501e-02 3.293825693795722487e-02
2.425307855696545115e-03 -4.129038364711234976e-03 2.925484991223019013e-02
2.536526235023602027e-03 2.573084867584896074e-03 2.646251583587943754e-02
2.647744614350658506e-03 1.343255543980781397e-02 2.397569797674628175e-02
2.758962993677715417e-03 3.368186607364176410e-02 2.174265520475115315e-02
2.870181373004772329e-03 4.223575685665625912e-02 1.974776538401891782e-02
2.981399752331828808e-03 2.098944447249451173e-02 1.798493469709700962e-02
3.092618131658885720e-03 1.595186954970495563e-02 1.648751364652817700e-02
3.203836510985942632e-03 5.148741463228434512e-02 1.526714882855477115e-02
3.315054890312999110e-03 4.652394335874499021e-02 1.412679259288506656e-02
3.426273269640056022e-03 4.247136669326989633e-02 1.308036655353570984e-02
3.537491648967112934e-03 1.341528544498382658e-02 1.196956648738636830e-02
3.648710028294169412e-03 5.107028354963549788e-02 1.117479480515080892e-02
3.759928407621226324e-03 3.890971589277780751e-02 1.042046382075624555e-02
3.871146786948283236e-03 3.582314248215134889e-02 9.892471293277221855e-03
3.982365166275340582e-03 4.266655774682370783e-02 9.314732058278542629e-03
4.093583545602396193e-03 3.372768351247557028e-02 8.731113686318844186e-03
4.204801924929453538e-03 4.176663905106647867e-02 8.155129864301091311e-03
4.316020304256510016e-03 2.923881859626509261e-02 7.559674172261212841e-03
4.427238683583566495e-03 2.895267546295476890e-02 7.069221022960418821e-03
4.538457062910623840e-03 4.003178942302887400e-02 6.820974186601711994e-03
4.649675442237680319e-03 3.452860894855502849e-02 6.869561945699901792e-03
4.760893821564736797e-03 2.063259828127783635e-02 6.709177848993665497e-03
4.872112200891794143e-03 2.985220128677767981e-02 6.581882080739227640e-03
4.983330580218850621e-03 3.160094982516570283e-02 6.384755012263708916e-03
5.094548959545907099e-03 3.852737723410748494e-02 6.136462521944497685e-03
5.205767338872964445e-03 3.413412094808476738e-02 5.929097978070559799e-03
5.316985718200020923e-03 4.257814028768391879e-02 5.810637978806117328e-03
5.428204097527077401e-03 2.779076912954447920e-02 5.519106349549204003e-03
5.539422476854134747e-03 3.057049526377453308e-02 5.320822373924611985e-03
5.650640856181191225e-03 3.429274720496011675e-02 5.211681989851082303e-03
5.761859235508247704e-03 3.340753057467010789e-02 5.064163153269659115e-03
5.873077614835305049e-03 1.918882356419560065e-02 4.793190383313951884e-03
5.984295994162361527e-03 2.130848168631144235e-02 4.595795590784498320e-03
6.095514373489418006e-03 3.133416683349271592e-02 4.502593114260448372e-03
6.206732752816475351e-03 3.262364749892232574e-02 4.341188706847238024e-03
6.317951132143531830e-03 3.396005473575475220e-02 4.250173947096255039e-03
6.429169511470588308e-03 2.539726192836655461e-02 3.980068485554027341e-03
6.540387890797645654e-03 2.570406713233985840e-02 3.748049843418678907e-03
6.651606270124702132e-03 2.708978965018671303e-02 3.596912744029569144e-03
6.762824649451758610e-03 2.265535098370036193e-02 3.426784851608625192e-03
6.874043028778815956e-03 2.885886234783346938e-02 3.311382080379051806e-03
6.985261408105872434e-03 2.814108484568350610e-02 3.186910792842058762e-03
7.096479787432928912e-03 2.502501106841670264e-02 3.075616757832576407e-03
7.207698166759986258e-03 2.511903560140643643e-02 2.957222716575567782e-03
7.318916546087042736e-03 2.772906620269124933e-02 2.873879310489611642e-03
7.430134925414099215e-03 2.113552818797756472e-02 2.761419530345924061e-03
7.541353304741156560e-03 2.092716506623645834e-02 2.677388997090294608e-03
7.652571684068213038e-03 2.375842811186179571e-02 2.590545693071594560e-03
7.763790063395270384e-03 2.169143679297919070e-02 2.520781796856355790e-03
7.875008442722326862e-03 2.704706543460252965e-02 2.487242060544468496e-03
7.986226822049382473e-03 2.559722656146232178e-02 2.400537867565465978e-03
8.097445201376439819e-03 2.197053160638245961e-02 2.331848155924918023e-03
8.208663580703497165e-03 2.418073307601234512e-02 2.305538595834024686e-03
8.319881960030552775e-03 2.190507337172153957e-02 2.222337693140420071e-03
8.431100339357610121e-03 2.102973358076537513e-02 2.160802390547055928e-03
8.542318718684667467e-03 1.778563948844751053e-02 2.085181863250069705e-03
8.653537098011723078e-03 2.016763678503086243e-02 2.037548957280973811e-03
8.764755477338780423e-03 1.758532402649722048e-02 1.978916845517578963e-03
8.875973856665837769e-03 1.623861089993317020e-02 1.928763126081493558e-03
8.987192235992893380e-03 2.221390403723215445e-02 1.930171874570425902e-03
9.098410615319950726e-03 1.870906713273694233e-02 1.867321045912534970e-03
9.209628994647008071e-03 1.912363264652446049e-02 1.846983907103288492e-03
9.320847373974063682e-03 2.028093914625982153e-02 1.814749811633709509e-03
9.432065753301121028e-03 1.759568716862841553e-02 1.756742121442180686e-03
9.543284132628178373e-03 1.745661761773870113e-02 1.729794849541371055e-03
9.654502511955233984e-03 1.915926162805350885e-02 1.712885717473367321e-03
9.765720891282291330e-03 1.675107148830942694e-02 1.655798343628193383e-03
9.876939270609348676e-03 1.923813353249301250e-02 1.648476066963881987e-03
9.988157649936404286e-03 1.817521914269216998e-02 1.618549234714534643e-03
1.009937602926346163e-02 2.051942892485121572e-02 1.631115338367713878e-03
1.021059440859051898e-02 1.689296855009622678e-02 1.560576314136035044e-03
1.032181278791757459e-02 1.602909355566757565e-02 1.542945376174594723e-03
1.043303116724463193e-02 1.405839848883193299e-02 1.502252455648633335e-03
1.054424954657168928e-02 1.692645214283640398e-02 1.501979742278637718e-03
1.065546792589874489e-02 1.635244890828299602e-02 1.472959271067853957e-03
1.076668630522580224e-02 1.377749398967313688e-02 1.439252929731124359e-03
1.087790468455285958e-02 1.481945833227696352e-02 1.433612623466659717e-03
1.098912306387991519e-02 1.499743405670726781e-02 1.407251191042728500e-03
1.110034144320697254e-02 1.639294908588667665e-02 1.412717657688992859e-03
1.121155982253402988e-02 1.408743513123131286e-02 1.372447362595637056e-03
1.132277820186108550e-02 1.562981308406215242e-02 1.362513703899826539e-03
1.143399658118814284e-02 1.742479949568329078e-02 1.361160075944148470e-03
1.154521496051520019e-02 1.498633040957966095e-02 1.330236777056054316e-03
1.165643333984225580e-02 1.274620713636960556e-02 1.291712122033853057e-03
1.176765171916931314e-02 1.527942918414638973e-02 1.310530239886767857e-03
1.187887009849637049e-02 1.246380416943290020e-02 1.277358925050982134e-03
1.199008847782342610e-02 1.186430375575601992e-02 1.250748060756030943e-03
1.210130685715048345e-02 1.284500348930559671e-02 1.247468941916890462e-03
1.221252523647754079e-02 1.515248845643956538e-02 1.256016570315549767e-03
1.232374361580459640e-02 1.352713723408361518e-02 1.231857265700999227e-03
1.243496199513165375e-02 1.183001473819680210e-02 1.211544550101365230e-03
1.254618037445871109e-02 1.351713603871673719e-02 1.219567120502816886e-03
1.265739875378576670e-02 1.321219429805405715e-02 1.197296223994729920e-03
1.276861713311282405e-02 1.023446038425893101e-02 1.145636046248882985e-03
1.287983551243988140e-02 1.435693323503781094e-02 1.175879681443453431e-03
1.299105389176693701e-02 1.287469463200655723e-02 1.153096400192038951e-03
1.310227227109399435e-02 1.217746554287103128e-02 1.133884086887960085e-03
1.321349065042105170e-02 1.378398711642116886e-02 1.139981703887210217e-03
1.332470902974810731e-02 1.471404411070227625e-02 1.141644074957173750e-03
1.343592740907516465e-02 1.396703357840577836e-02 1.121518712764445072e-03
1.354714578840222200e-02 1.188567811345583869e-02 1.092983066384610111e-03
1.365836416772927761e-02 9.897996908431801188e-03 1.070831348290260084e-03
1.376958254705633496e-02 1.206570951706771588e-02 1.077036671640267890e-03
1.388080092638339230e-02 1.172878596607745960e-02 1.066298024953637059e-03
1.399201930571044791e-02 1.269478440498265914e-02 1.061119959185325042e-03
1.410323768503750526e-02 1.290359031875725621e-02 1.056842807365042771e-03
1.421445606436456260e-02 1.193018209058856194e-02 1.047399681261372692e-03
1.432567444369161822e-02 9.938152133478268813e-03 1.021227949147469156e-03
1.443689282301867556e-02 1.123359224873068940e-02 1.025893228666446616e-03
1.454811120234573291e-02 1.111736387779008184e-02 1.018037619525436225e-03
1.465932958167278852e-02 1.194480039426074058e-02 1.017630475588625827e-03
1.477054796099984586e-02 1.148253288833998159e-02 1.000498248285697613e-03
1.488176634032690321e-02 9.565261090580590153e-03 9.719037395096594362e-04
1.499298471965395882e-02 1.097855805511373933e-02 9.833291603492605795e-04
1.510420309898101617e-02 1.105354094190572761e-02 9.812916055296526992e-04
1.521542147830807351e-02 1.079336823890043179e-02 9.749320601978620719e-04
1.532663985763512912e-02 1.140147298058024478e-02 9.721699894244257949e-04
1.543785823696218647e-02 9.956700647740741872e-03 9.578789525317760092e-04
1.554907661628924381e-02 1.020961754549026129e-02 9.489103783767580602e-04
1.566029499561629942e-02 9.232554201574844077e-03 9.323111133110436113e-04
